Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
5_Cand_ABC,%5ENSEBANK,Buy,2022-08-29 12:15:00+05:30,38304.45,Buy,Neutral,Buy,Sell,Neutral,Buy,Buy,Buy,62.5,37921.40549999999,38687.4945,3.0,38100,2022-09-01,443.95,399.56,488.34,25,1,-1,BANKNIFTY01SEP2238100CE,51640,5.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-29 16:12:18.071954
5_Cand_ABC,%5ENSEI,Buy,2022-08-29 12:15:00+05:30,17339.1,Buy,Neutral,Buy,Sell,Neutral,Sell,Sell,Buy,37.5,17165.709,17512.490999999998,6.0,17250,2022-09-01,168.2,151.38,185.02,50,1,-1,NIFTY01SEP2217250CE,49118,5.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-29 16:12:18.071954
Cowboy,%5ENSEBANK,Sell,2022-08-29 09:15:00+05:30,38031.85,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,87.5,38412.1685,37651.5315,3.0,38200,2022-09-01,453.3,407.97,498.63,25,1,-1,BANKNIFTY01SEP2238200PE,51643,1.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-29 16:12:18.071954
Options_Chain_Volume,%5ENSEBANK,Buy,2022-08-29 09:25:00+05:30,38154.1,Sell,Sell,Sell,Sell,Neutral,Sell,Sell,Sell,0.0,37772.559,38535.640999999996,3.0,38000,2022-09-01,477.75,429.98,525.52,25,1,-1,BANKNIFTY01SEP2238000CE,51638,3.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-29 16:12:18.071954
Options_Chain_Volume,%5ENSEI,Buy,2022-08-29 09:25:00+05:30,17223.85,Sell,Sell,Sell,Sell,Neutral,Sell,Sell,Sell,0.0,17051.6115,17396.088499999998,6.0,17100,2022-09-01,211.85,190.66,233.04,50,1,-1,NIFTY01SEP2217100CE,36786,3.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-29 16:12:18.071954
Reds Rocket,%5ENSEBANK,Sell,2022-08-29 09:15:00+05:30,38031.85,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,87.5,38412.1685,37651.5315,3.0,38200,2022-09-01,453.3,407.97,498.63,25,1,-1,BANKNIFTY01SEP2238200PE,51643,1.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-29 16:12:18.071954
