Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEI,Buy,2022-07-29 15:10:00+05:30,17159.8,Buy,Buy,Buy,Buy,Sell,Buy,83.3,16988.201999999997,17331.398,6.0,17050,2022-08-04,193.55,174.2,212.9,50,1,-1,NIFTY04AUG2217050CE,41406,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-29 15:36:18.133323
5_Cand_ABC,%5ENSEBANK,Buy,2022-07-29 11:05:00+05:30,37443.25,Buy,Neutral,Sell,Buy,Neutral,Sell,33.32,37068.8175,37817.6825,3.0,37200,2022-08-04,460.7,414.63,506.77,25,1,-1,BANKNIFTY04AUG2237200CE,35060,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-29 15:36:18.133323
Gap_up,%5ENSEI,Buy,2022-07-29 09:35:00+05:30,17126.65,Buy,Buy,Buy,Buy,Neutral,Buy,83.3,16955.3835,17297.916500000003,6.0,17150,2022-08-04,112.7,101.43,123.97,300,2,1,NIFTY04AUG2217150CE,41425,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-29 15:36:18.133323
Options_Chain_Volume,%5ENSEBANK,Buy,2022-07-29 10:49:00+05:30,37405.0,Buy,Buy,Buy,Buy,Sell,Sell,66.64,37030.95,37779.05,3.0,37200,2022-08-04,488.4,439.56,537.24,25,1,-1,BANKNIFTY04AUG2237200CE,35060,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-29 15:36:18.133323
Options_Chain_Volume,%5ENSEI,Buy,2022-07-29 10:48:00+05:30,17069.25,Buy,Neutral,Buy,Buy,Sell,Sell,49.98,16898.5575,17239.9425,6.0,16950,2022-08-04,215.05,193.54,236.56,50,1,-1,NIFTY04AUG2216950CE,41398,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-29 15:36:18.133323
