Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
5_Cand_ABC,%5ENSEBANK,Buy,2022-08-24 14:50:00+05:30,38919.05,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Sell,75.0,38529.859500000006,39308.2405,3.0,38700,2022-09-01,584.0,525.6,642.4,25,1,-1,BANKNIFTY01SEP2238700CE,51686,3.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-24 16:27:16.430771
Gap_up,%5ENSEBANK,Buy,2022-08-24 10:20:00+05:30,38857.75,Buy,Buy,Buy,Buy,Neutral,Sell,Sell,Buy,62.5,38469.1725,39246.3275,3.0,38700,2022-09-01,527.1,474.39,579.81,75,1,1,BANKNIFTY01SEP2238700CE,51686,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-24 16:27:16.430771
Options_Chain_Volume,%5ENSEBANK,Buy,2022-08-24 14:32:00+05:30,38884.6,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Sell,75.0,38495.754,39273.445999999996,3.0,38700,2022-09-01,565.0,508.5,621.5,25,1,-1,BANKNIFTY01SEP2238700CE,51686,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-24 16:27:16.430771
Options_Chain_Volume,%5ENSEI,Buy,2022-08-24 14:50:00+05:30,17586.35,Buy,Buy,Buy,Buy,Sell,Sell,Sell,Sell,50.0,17410.4865,17762.213499999998,6.0,17500,2022-09-01,233.75,210.38,257.12,50,1,-1,NIFTY01SEP2217500CE,70691,3.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-24 16:27:16.430771
