Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEBANK,Sell,2022-08-08 11:40:00+05:30,38041.55,Sell,Neutral,Sell,Buy,Neutral,Buy,Buy,Buy,25.0,38421.965500000006,37661.1345,3.0,38200,2022-08-11,350.0,315.0,385.0,75,1,1,BANKNIFTY11AUG2238200PE,42504,9.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-08 12:12:18.308500
Gap_up,%5ENSEI,Buy,2022-08-08 10:50:00+05:30,17474.95,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17300.2005,17649.699500000002,6.0,17450,2022-08-11,124.65,112.18,137.12,300,2,1,NIFTY11AUG2217450CE,44632,7.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-08 12:12:18.308500
Options_Chain_Volume,%5ENSEBANK,Buy,2022-08-08 09:26:00+05:30,37770.9,Sell,Neutral,Sell,Sell,Neutral,Buy,Buy,Sell,25.0,37393.191,38148.609000000004,3.0,37600,2022-08-11,422.2,379.98,464.42,25,1,-1,BANKNIFTY11AUG2237600CE,42472,3.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-08 12:12:18.308500
Options_Chain_Volume,%5ENSEI,Buy,2022-08-08 09:26:00+05:30,17401.55,Buy,Neutral,Buy,Sell,Neutral,Buy,Buy,Sell,50.0,17227.534499999998,17575.5655,6.0,17300,2022-08-11,181.7,163.53,199.87,50,1,-1,NIFTY11AUG2217300CE,44613,3.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-08 12:12:18.308500
Reds Brahmos,%5ENSEBANK,Sell,2022-08-08 09:15:00+05:30,37697.95,Sell,Sell,Sell,Sell,Buy,Sell,Sell,,75.0,38074.9295,37320.970499999996,3.0,37900,2022-08-11,378.65,340.78,416.52,25,1,-1,BANKNIFTY11AUG2237900PE,42488,1.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-08 12:12:18.308500
Reds Brahmos,%5ENSEI,Buy,2022-08-08 10:50:00+05:30,17474.95,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17300.2005,17649.699500000002,6.0,17450,2022-08-11,124.65,112.18,137.12,50,2,-1,NIFTY11AUG2217450CE,44632,7.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-08 12:12:18.308500
Reds Rocket,%5ENSEBANK,Sell,2022-08-08 09:15:00+05:30,37697.95,Sell,Sell,Sell,Sell,Buy,Sell,Sell,,75.0,38074.9295,37320.970499999996,3.0,37900,2022-08-11,378.65,340.78,416.52,25,1,-1,BANKNIFTY11AUG2237900PE,42488,1.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-08 12:12:18.308500
Reds Rocket,%5ENSEI,Buy,2022-08-08 10:50:00+05:30,17475.1,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17300.349,17649.851,6.0,17400,2022-08-11,154.25,138.82,169.68,50,1,-1,NIFTY11AUG2217400CE,44627,7.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-08 12:12:18.308500
Sweths Violation,%5ENSEBANK,Buy,2022-08-08 09:40:00+05:30,37921.5,Buy,Neutral,Buy,Sell,Neutral,Buy,Sell,Buy,50.0,37542.285,38300.715,3.0,37700,2022-08-11,429.25,386.32,472.18,25,1,-1,BANKNIFTY11AUG2237700CE,42479,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-08 12:12:18.308500
