Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEBANK,Sell,2022-07-15 09:45:00+05:30,34629.95,Sell,Neutral,Sell,Sell,Neutral,Sell,66.64,34976.2495,34283.650499999996,3.0,34800,2022-07-21,425.5,382.95,468.05,75,1,1,BANKNIFTY21JUL2234800PE,47832,1.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-15 15:39:17.320708
5_Cand_ABC,%5ENSEBANK,Buy,2022-07-15 13:05:00+05:30,34592.05,Buy,Neutral,Buy,Sell,Neutral,Sell,33.32,34246.1295,34937.9705,3.0,34400,2022-07-21,460.4,414.36,506.44,25,1,-1,BANKNIFTY21JUL2234400CE,47342,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-15 15:39:17.320708
5_Cand_ABC,%5ENSEI,Buy,2022-07-15 12:45:00+05:30,15962.45,Buy,Neutral,Sell,Sell,Neutral,Sell,16.66,15802.8255,16122.0745,6.0,15850,2022-07-21,190.3,171.27,209.33,50,1,-1,NIFTY21JUL2215850CE,54313,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-15 15:39:17.320708
Gap_up,%5ENSEBANK,Sell,2022-07-15 09:45:00+05:30,34629.95,Sell,Neutral,Sell,Sell,Neutral,Sell,66.64,34976.2495,34283.650499999996,3.0,34800,2022-07-21,425.5,382.95,468.05,75,1,1,BANKNIFTY21JUL2234800PE,47832,1.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-15 15:39:17.320708
Options_Chain_Volume,%5ENSEBANK,Buy,2022-07-15 15:25:00+05:30,34713.55,Buy,Buy,Buy,Sell,Neutral,Buy,66.64,34366.414500000006,35060.6855,3.0,34500,2022-07-21,471.8,424.62,518.98,25,1,-1,BANKNIFTY21JUL2234500CE,47344,6.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-15 15:39:17.320708
Options_Chain_Volume,%5ENSEI,Buy,2022-07-15 15:16:00+05:30,16063.1,Buy,Buy,Buy,Buy,Neutral,Buy,83.3,15902.469000000001,16223.731,6.0,15950,2022-07-21,199.45,179.5,219.4,50,1,-1,NIFTY21JUL2215950CE,54317,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-15 15:39:17.320708
