Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
5_Cand_ABC,%5ENSEI,Buy,2022-08-03 14:40:00+05:30,17333.65,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,17160.3135,17506.986500000003,6.0,17250,2022-08-11,230.2,207.18,253.22,50,1,-1,NIFTY11AUG2217250CE,44611,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-03 15:09:19.366783
Gap_up,%5ENSEI,Sell,2022-08-03 09:35:00+05:30,17302.95,Sell,Neutral,Sell,Sell,Neutral,Sell,Buy,Sell,62.5,17475.9795,17129.9205,6.0,17300,2022-08-11,187.5,168.75,206.25,300,1,1,NIFTY11AUG2217300PE,44614,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-03 15:09:19.366783
Options_Chain_Volume,%5ENSEBANK,Buy,2022-08-03 13:55:00+05:30,37789.05,Buy,Neutral,Buy,Sell,Neutral,Sell,Sell,Sell,25.0,37411.1595,38166.940500000004,3.0,37600,2022-08-11,570.4,513.36,627.44,75,1,1,BANKNIFTY11AUG2237600CE,42472,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-03 15:09:19.366783
Options_Chain_Volume,%5ENSEI,Buy,2022-08-03 12:50:00+05:30,17293.1,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,62.5,17120.168999999998,17466.031,6.0,17200,2022-08-11,245.65,221.08,270.22,50,1,-1,NIFTY11AUG2217200CE,44608,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-03 15:09:19.366783
