Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEBANK,Buy,2022-08-01 12:25:00+05:30,37777.75,Buy,Buy,Sell,Buy,Sell,Buy,Buy,Buy,75.0,37399.9725,38155.5275,3.0,37600,2022-08-04,377.3,339.57,415.03,25,1,-1,BANKNIFTY04AUG2237600CE,35087,8.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-01 15:24:28.731820
5_Cand_ABC,%5ENSEBANK,Buy,2022-08-01 10:10:00+05:30,37626.9,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,37250.631,38003.169,3.0,37400,2022-08-04,447.85,403.07,492.64,75,1,1,BANKNIFTY04AUG2237400CE,35074,6.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-01 15:24:28.731820
5_Cand_ABC,%5ENSEI,Buy,2022-08-01 10:05:00+05:30,17268.05,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17095.3695,17440.730499999998,6.0,17150,2022-08-04,180.1,162.09,198.11,300,1,1,NIFTY04AUG2217150CE,41425,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-01 15:24:28.731820
Gap_up,%5ENSEBANK,Buy,2022-08-01 12:15:00+05:30,37756.85,Buy,Buy,Sell,Buy,Neutral,Buy,Buy,Buy,75.0,37379.2815,38134.4185,3.0,37600,2022-08-04,383.1,344.79,421.41,25,1,-1,BANKNIFTY04AUG2237600CE,35087,7.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-01 15:24:28.731820
Gap_up,%5ENSEI,Buy,2022-08-01 09:45:00+05:30,17252.35,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17079.8265,17424.873499999998,6.0,17250,2022-08-04,107.95,97.16,118.74,50,2,-1,NIFTY04AUG2217250CE,41435,2.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-01 15:24:28.731820
Options_Chain_Volume,%5ENSEBANK,Buy,2022-08-01 09:49:00+05:30,37580.15,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,37204.3485,37955.9515,3.0,37400,2022-08-04,425.25,382.72,467.78,25,1,-1,BANKNIFTY04AUG2237400CE,35074,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-01 15:24:28.731820
Options_Chain_Volume,%5ENSEI,Buy,2022-08-01 09:23:00+05:30,17217.7,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17045.523,17389.877,6.0,17100,2022-08-04,191.6,172.44,210.76,50,1,-1,NIFTY04AUG2217100CE,41411,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-01 15:24:28.731820
Sweths Violation,%5ENSEI,Buy,2022-08-01 09:45:00+05:30,17252.35,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17079.8265,17424.873499999998,6.0,17250,2022-08-04,107.95,97.16,118.74,300,2,1,NIFTY04AUG2217250CE,41435,2.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-01 15:24:28.731820
