Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
5_Cand_ABC,%5ENSEBANK,Buy,2022-08-23 13:10:00+05:30,38447.1,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,62.5,38062.629,38831.570999999996,3.0,38200,2022-09-01,617.5,555.75,679.25,25,1,-1,BANKNIFTY01SEP2238200CE,51642,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-23 16:27:16.486334
Options_Chain_Volume,%5ENSEBANK,Buy,2022-08-23 13:12:00+05:30,38439.4,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,62.5,38055.006,38823.794,3.0,38200,2022-09-01,637.0,573.3,700.7,25,1,-1,BANKNIFTY01SEP2238200CE,51642,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-23 16:27:16.486334
Options_Chain_Volume,%5ENSEI,Buy,2022-08-23 12:53:00+05:30,17527.5,Buy,Buy,Buy,Sell,Sell,Buy,Buy,Sell,62.5,17352.225,17702.775,6.0,17450,2022-09-01,243.7,219.33,268.07,50,1,-1,NIFTY01SEP2217450CE,70689,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-23 16:27:16.486334
