Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
5_Cand_ABC,%5ENSEI,Buy,2022-09-09 10:20:00+05:30,17910.45,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Sell,75.0,17731.3455,18089.554500000002,6.0,17800,2022-09-15,206.65,185.98,227.32,50,1,-1,NIFTY15SEP2217800CE,47921,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-09 10:57:16.245624
Gap_up,%5ENSEBANK,Buy,2022-09-09 10:15:00+05:30,40597.55,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,40191.5745,41003.5255,2.0,40400,2022-09-15,504.55,454.1,555.0,25,1,-1,BANKNIFTY15SEP2240400CE,51863,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-09 10:57:16.245624
Options_Chain_Volume,%5ENSEBANK,Buy,2022-09-09 10:00:00+05:30,40578.15,Buy,Buy,Sell,Buy,Neutral,Buy,Buy,Buy,75.0,40172.368500000004,40983.9315,2.0,40400,2022-09-15,516.5,464.85,568.15,25,1,-1,BANKNIFTY15SEP2240400CE,51863,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-09 10:57:16.245624
Options_Chain_Volume,%5ENSEI,Sell,2022-09-09 09:17:00+05:30,17897.85,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Sell,25.0,18076.8285,17718.871499999997,6.0,18000,2022-09-15,186.35,167.72,204.98,300,1,1,NIFTY15SEP2218000PE,47934,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-09 10:57:16.245624
Reds Brahmos,%5ENSEBANK,Buy,2022-09-09 09:15:00+05:30,40529.05,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,40123.7595,40934.340500000006,2.0,40300,2022-09-15,552.55,497.29,607.8,25,1,-1,BANKNIFTY15SEP2240300CE,51856,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-09 10:57:16.245624
