Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
5_Cand_ABC,%5ENSEBANK,Buy,2022-08-02 14:20:00+05:30,38113.8,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Sell,75.0,37732.662000000004,38494.938,3.0,37900,2022-08-11,593.8,534.42,653.18,25,1,-1,BANKNIFTY11AUG2237900CE,42485,3.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-02 15:54:17.757153
5_Cand_ABC,%5ENSEI,Buy,2022-08-02 14:20:00+05:30,17350.35,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17176.8465,17523.853499999997,6.0,17250,2022-08-11,247.85,223.06,272.64,50,1,-1,NIFTY11AUG2217250CE,44611,3.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-02 15:54:17.757153
Gap_down,%5ENSEBANK,Buy,2022-08-02 11:35:00+05:30,37943.0,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,37563.57,38322.43,3.0,37700,2022-08-11,602.0,541.8,662.2,75,1,1,BANKNIFTY11AUG2237700CE,42479,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-02 15:54:17.757153
Gap_down,%5ENSEI,Buy,2022-08-02 14:35:00+05:30,17372.75,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17199.0225,17546.4775,6.0,17250,2022-08-11,258.65,232.78,284.52,50,1,-1,NIFTY11AUG2217250CE,44611,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-02 15:54:17.757153
Options_Chain_Volume,%5ENSEBANK,Buy,2022-08-02 12:51:00+05:30,37895.7,Buy,Neutral,Buy,Buy,Neutral,Buy,Buy,Sell,62.5,37516.742999999995,38274.657,3.0,37700,2022-08-11,604.6,544.14,665.06,75,1,1,BANKNIFTY11AUG2237700CE,42479,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-02 15:54:17.757153
Options_Chain_Volume,%5ENSEI,Sell,2022-08-02 15:24:00+05:30,17301.85,Sell,Sell,Sell,Buy,Buy,Buy,Buy,Sell,50.0,17474.868499999997,17128.8315,6.0,17400,2022-08-11,253.9,228.51,279.29,50,1,-1,NIFTY11AUG2217400PE,44628,6.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-02 15:54:17.757153
