Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEBANK,Buy,2022-09-13 13:45:00+05:30,40791.0,Buy,Neutral,Buy,Buy,Neutral,Buy,Buy,,62.5,40383.09,41198.91,2.0,40600,2022-09-22,650.5,585.45,715.55,25,1,-1,BANKNIFTY22SEP2240600CE,59042,6.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-13 16:27:16.944207
3_Cand_ABC,%5ENSEI,Buy,2022-09-13 10:40:00+05:30,18045.15,Buy,Buy,Sell,Buy,Neutral,Sell,Sell,,37.5,17864.698500000002,18225.6015,6.0,17950,2022-09-22,241.35,217.22,265.48,50,1,-1,NIFTY22SEP2217950CE,52712,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-13 16:27:16.944207
Gap_up,%5ENSEBANK,Buy,2022-09-13 09:40:00+05:30,40802.75,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,,75.0,40394.7225,41210.7775,2.0,40600,2022-09-22,665.0,598.5,731.5,25,1,-1,BANKNIFTY22SEP2240600CE,59042,2.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-13 16:27:16.944207
Gap_up,%5ENSEI,Buy,2022-09-13 09:35:00+05:30,18048.65,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,,75.0,17868.163500000002,18229.1365,6.0,18050,2022-09-22,187.0,168.3,205.7,300,1,1,NIFTY22SEP2218050CE,52752,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-13 16:27:16.944207
Options_Chain_Volume,%5ENSEBANK,Buy,2022-09-13 13:54:00+05:30,40821.0,Buy,Buy,Buy,Buy,Sell,Sell,Sell,,50.0,40412.79,41229.21,2.0,40600,2022-09-22,679.4,611.46,747.34,25,1,-1,BANKNIFTY22SEP2240600CE,59042,7.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-13 16:27:16.944207
Options_Chain_Volume,%5ENSEI,Buy,2022-09-13 10:45:00+05:30,18048.35,Buy,Neutral,Buy,Buy,Neutral,Sell,Sell,,37.5,17867.8665,18228.833499999997,6.0,17950,2022-09-22,247.05,222.35,271.76,50,1,-1,NIFTY22SEP2217950CE,52712,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-13 16:27:16.944207
Sweths Violation,%5ENSEBANK,Buy,2022-09-13 09:40:00+05:30,40802.75,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,,75.0,40394.7225,41210.7775,2.0,40600,2022-09-22,665.0,598.5,731.5,25,1,-1,BANKNIFTY22SEP2240600CE,59042,2.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-13 16:27:16.944207
