Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEBANK,Sell,2022-07-26 10:10:00+05:30,36411.5,Sell,Sell,Sell,Sell,Neutral,Sell,83.3,36775.615,36047.385,3.0,36600,2022-08-04,584.7,526.23,643.17,75,1,1,BANKNIFTY04AUG2236600PE,49446,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-26 16:27:10.378362
Gap_down,%5ENSEBANK,Sell,2022-07-26 10:00:00+05:30,36453.9,Sell,Sell,Sell,Sell,Neutral,Sell,83.3,36818.439,36089.361000000004,3.0,36700,2022-08-04,599.9,539.91,659.89,75,1,1,BANKNIFTY04AUG2236700PE,49450,1.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-26 16:27:10.378362
Options_Chain_Volume,%5ENSEBANK,Sell,2022-07-26 15:15:00+05:30,36380.5,Sell,Sell,Sell,Sell,Buy,Sell,83.3,36744.305,36016.695,3.0,36600,2022-08-04,585.7,527.13,644.27,25,1,-1,BANKNIFTY04AUG2236600PE,49446,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-26 16:27:10.378362
Reds Brahmos,%5ENSEBANK,Sell,2022-07-26 10:00:00+05:30,36436.8,Sell,Sell,Sell,Sell,Neutral,Sell,83.3,36801.168000000005,36072.432,3.0,36600,2022-08-04,546.55,491.9,601.2,25,1,-1,BANKNIFTY04AUG2236600PE,49446,1.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-26 16:27:10.378362
