Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
Cowboy,%5ENSEI,Buy,2022-07-18 09:15:00+05:30,16175.6,Buy,Buy,Buy,Buy,Sell,,66.64,16013.844000000001,16337.356,6.0,16000,2022-07-21,230.85,207.76,253.94,300,1,1,NIFTY21JUL2216000CE,54327,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-18 14:36:17.628697
Gap_up,%5ENSEBANK,Buy,2022-07-18 11:05:00+05:30,34947.1,Buy,Buy,Buy,Buy,Neutral,Buy,83.3,34597.629,35296.570999999996,3.0,34700,2022-07-21,437.35,393.62,481.08,75,1,1,BANKNIFTY21JUL2234700CE,47367,4.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-18 14:36:17.628697
Gap_up,%5ENSEI,Buy,2022-07-18 10:05:00+05:30,16186.5,Buy,Buy,Buy,Buy,Neutral,Buy,83.3,16024.635,16348.365,6.0,16200,2022-07-21,92.55,83.3,101.8,300,2,1,NIFTY21JUL2216200CE,79910,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-18 14:36:17.628697
Options_Chain_Volume,%5ENSEBANK,Buy,2022-07-18 11:05:00+05:30,34953.85,Buy,Buy,Buy,Buy,Neutral,Buy,83.3,34604.311499999996,35303.3885,3.0,34800,2022-07-21,372.2,334.98,409.42,75,1,1,BANKNIFTY21JUL2234800CE,47830,4.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-18 14:36:17.628697
Options_Chain_Volume,%5ENSEI,Buy,2022-07-18 10:09:00+05:30,16188.05,Buy,Buy,Buy,Buy,Sell,Buy,83.3,16026.1695,16349.930499999999,6.0,16100,2022-07-21,161.85,145.66,178.04,300,1,1,NIFTY21JUL2216100CE,55596,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-18 14:36:17.628697
