Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
5_Cand_ABC,%5ENSEBANK,Sell,2022-09-14 15:05:00+05:30,41433.1,Sell,Neutral,Sell,Buy,Neutral,Buy,Buy,,25.0,41847.431,41018.769,2.0,41600,2022-09-22,594.1,534.69,653.51,25,1,-1,BANKNIFTY22SEP2241600PE,59063,9.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-14 16:15:21.352052
5_Cand_ABC,%5ENSEI,Sell,2022-09-14 15:05:00+05:30,18017.35,Sell,Sell,Sell,Sell,Neutral,Sell,Sell,,75.0,18197.5235,17837.176499999998,6.0,18100,2022-09-22,213.4,192.06,234.74,300,1,1,NIFTY22SEP2218100PE,52759,9.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-14 16:15:21.352052
Cowboy,%5ENSEBANK,Buy,2022-09-14 09:25:00+05:30,40705.75,Sell,Neutral,Sell,Sell,Neutral,Sell,Sell,,0.0,40298.6925,41112.8075,2.0,40500,2022-09-22,626.0,563.4,688.6,50,1,1,BANKNIFTY22SEP2240500CE,59040,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-14 16:15:21.352052
Gap_down,%5ENSEBANK,Buy,2022-09-14 10:30:00+05:30,40847.25,Buy,Neutral,Buy,Buy,Neutral,Buy,Buy,,62.5,40438.7775,41255.7225,2.0,40600,2022-09-22,644.3,579.87,708.73,50,1,1,BANKNIFTY22SEP2240600CE,59042,7.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-14 16:15:21.352052
Gap_down,%5ENSEI,Buy,2022-09-14 11:55:00+05:30,17985.1,Buy,Buy,Buy,Sell,Neutral,Buy,Buy,,62.5,17805.249,18164.950999999997,6.0,17900,2022-09-22,233.0,209.7,256.3,50,1,-1,NIFTY22SEP2217900CE,52710,8.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-14 16:15:21.352052
Options_Chain_Volume,%5ENSEBANK,Buy,2022-09-14 09:22:00+05:30,40577.25,Sell,Sell,Sell,Sell,Neutral,Buy,Buy,,25.0,40171.4775,40983.0225,2.0,40400,2022-09-22,658.8,592.92,724.68,25,1,-1,BANKNIFTY22SEP2240400CE,59038,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-14 16:15:21.352052
Options_Chain_Volume,%5ENSEI,Buy,2022-09-14 09:17:00+05:30,17881.2,Sell,Sell,Sell,Sell,Buy,Sell,Sell,,12.5,17702.388,18060.012000000002,6.0,17800,2022-09-22,233.55,210.2,256.91,300,1,1,NIFTY22SEP2217800CE,52706,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-14 16:15:21.352052
Reds Brahmos,%5ENSEBANK,Buy,2022-09-14 09:25:00+05:30,40705.75,Sell,Neutral,Sell,Sell,Neutral,Sell,Sell,,0.0,40298.6925,41112.8075,2.0,40500,2022-09-22,626.0,563.4,688.6,25,1,-1,BANKNIFTY22SEP2240500CE,59040,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-14 16:15:21.352052
Reds Brahmos,%5ENSEI,Sell,2022-09-14 09:15:00+05:30,17881.2,Sell,Sell,Sell,Sell,Buy,Sell,Sell,,75.0,18060.012000000002,17702.388,6.0,17900,2022-09-22,184.95,166.46,203.44,300,1,1,NIFTY22SEP2217900PE,52711,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-14 16:15:21.352052
Reds Rocket,%5ENSEBANK,Buy,2022-09-14 09:25:00+05:30,40705.75,Sell,Neutral,Sell,Sell,Neutral,Sell,Sell,,0.0,40298.6925,41112.8075,2.0,40500,2022-09-22,626.0,563.4,688.6,25,1,-1,BANKNIFTY22SEP2240500CE,59040,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-14 16:15:21.352052
