Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
5_Cand_ABC,%5ENSEBANK,Buy,2022-07-27 14:15:00+05:30,36736.2,Buy,Neutral,Sell,Buy,Neutral,Buy,49.98,36368.837999999996,37103.562,3.0,36500,2022-08-04,559.0,503.1,614.9,25,1,-1,BANKNIFTY04AUG2236500CE,49440,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-27 15:45:16.764257
5_Cand_ABC,%5ENSEI,Buy,2022-07-27 12:50:00+05:30,16576.65,Buy,Buy,Sell,Buy,Sell,Buy,66.64,16410.8835,16742.416500000003,6.0,16500,2022-08-04,218.75,196.88,240.62,50,1,-1,NIFTY04AUG2216500CE,41349,2.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-27 15:45:16.764257
Gap_down,%5ENSEBANK,Buy,2022-07-27 12:50:00+05:30,36702.75,Buy,Buy,Buy,Buy,Sell,Buy,83.3,36335.7225,37069.7775,3.0,36500,2022-08-04,553.85,498.46,609.24,25,1,-1,BANKNIFTY04AUG2236500CE,49440,2.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-27 15:45:16.764257
Gap_down,%5ENSEI,Buy,2022-07-27 15:05:00+05:30,16638.3,Buy,Buy,Buy,Buy,Sell,Buy,83.3,16471.916999999998,16804.683,6.0,16550,2022-08-04,238.4,214.56,262.24,300,1,1,NIFTY04AUG2216550CE,41362,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-27 15:45:16.764257
Options_Chain_Volume,%5ENSEBANK,Buy,2022-07-27 09:36:00+05:30,36306.6,Sell,Neutral,Buy,Sell,Neutral,Sell,16.66,35943.534,36669.666,3.0,36100,2022-08-04,573.45,516.1,630.8,25,1,-1,BANKNIFTY04AUG2236100CE,49432,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-27 15:45:16.764257
Options_Chain_Volume,%5ENSEI,Sell,2022-07-27 15:28:00+05:30,16639.05,Sell,Neutral,Sell,Buy,Neutral,Buy,33.32,16805.4405,16472.659499999998,6.0,16750,2022-08-04,222.25,200.02,244.48,300,1,1,NIFTY04AUG2216750PE,41381,6.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-27 15:45:16.764257
