Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEBANK,Buy,2022-07-19 10:55:00+05:30,35529.9,Buy,Buy,Buy,Buy,Neutral,Buy,83.3,35174.601,35885.199,3.0,35300,2022-07-28,569.15,512.24,626.06,75,1,1,BANKNIFTY28JUL2235300CE,54372,3.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-19 15:27:15.396579
3_Cand_ABC,%5ENSEI,Buy,2022-07-19 10:55:00+05:30,16314.1,Buy,Buy,Buy,Buy,Neutral,Buy,83.3,16150.959,16477.241,6.0,16200,2022-07-28,234.15,210.74,257.56,50,1,-1,NIFTY28JUL2216200CE,54923,3.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-19 15:27:15.396579
5_Cand_ABC,%5ENSEBANK,Buy,2022-07-19 14:50:00+05:30,35756.85,Buy,Buy,Buy,Buy,Neutral,Buy,83.3,35399.2815,36114.4185,3.0,35600,2022-07-28,499.9,449.91,549.89,25,1,-1,BANKNIFTY28JUL2235600CE,54379,8.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-19 15:27:15.396579
5_Cand_ABC,%5ENSEI,Buy,2022-07-19 12:30:00+05:30,16316.85,Buy,Buy,Buy,Buy,Neutral,Buy,83.3,16153.6815,16480.018500000002,6.0,16200,2022-07-28,233.4,210.06,256.74,50,1,-1,NIFTY28JUL2216200CE,54923,7.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-19 15:27:15.396579
Gap_down,%5ENSEBANK,Buy,2022-07-19 09:50:00+05:30,35395.75,Buy,Buy,Sell,Buy,Neutral,Sell,49.98,35041.7925,35749.7075,3.0,35200,2022-07-28,543.55,489.19,597.9,25,1,-1,BANKNIFTY28JUL2235200CE,54370,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-19 15:27:15.396579
Gap_down,%5ENSEI,Buy,2022-07-19 10:10:00+05:30,16294.9,Buy,Buy,Buy,Buy,Neutral,Buy,83.3,16131.951,16457.849,6.0,16200,2022-07-28,221.85,199.66,244.04,50,1,-1,NIFTY28JUL2216200CE,54923,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-19 15:27:15.396579
Options_Chain_Volume,%5ENSEBANK,Buy,2022-07-19 11:58:00+05:30,35467.9,Buy,Neutral,Buy,Buy,Neutral,Buy,66.64,35113.221000000005,35822.579,3.0,35300,2022-07-28,548.9,494.01,603.79,75,1,1,BANKNIFTY28JUL2235300CE,54372,6.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-19 15:27:15.396579
Options_Chain_Volume,%5ENSEI,Buy,2022-07-19 11:48:00+05:30,16273.2,Sell,Sell,Sell,Buy,Neutral,Buy,33.32,16110.468,16435.932,6.0,16150,2022-07-28,243.85,219.46,268.24,50,1,-1,NIFTY28JUL2216150CE,54921,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-19 15:27:15.396579
