Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEBANK,Sell,2022-09-01 14:05:00+05:30,39023.1,Sell,Sell,Sell,Sell,Buy,Buy,Buy,Sell,62.5,39413.331,38632.869,3.0,39200,2022-09-08,580.05,522.04,638.05,25,1,-1,BANKNIFTY08SEP2239200PE,46436,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-01 16:27:15.736964
3_Cand_ABC,%5ENSEI,Buy,2022-09-01 10:00:00+05:30,17627.95,Sell,Neutral,Sell,Buy,Neutral,Sell,Sell,Buy,25.0,17451.6705,17804.2295,6.0,17550,2022-09-08,225.45,202.9,248.0,50,1,-1,NIFTY08SEP2217550CE,43455,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-01 16:27:15.736964
Options_Chain_Volume,%5ENSEBANK,Sell,2022-09-01 11:35:00+05:30,39539.45,Sell,Neutral,Sell,Buy,Buy,Buy,Buy,Buy,25.0,39934.8445,39144.055499999995,3.0,39700,2022-09-08,575.0,517.5,632.5,25,1,-1,BANKNIFTY08SEP2239700PE,46462,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-01 16:27:15.736964
Options_Chain_Volume,%5ENSEI,Buy,2022-09-01 14:12:00+05:30,17516.05,Buy,Neutral,Buy,Sell,Neutral,Sell,Sell,Sell,25.0,17340.889499999997,17691.2105,6.0,17400,2022-09-08,260.7,234.63,286.77,50,1,-1,NIFTY08SEP2217400CE,43436,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-01 16:27:15.736964
Sweths Violation,%5ENSEI,Sell,2022-09-01 13:55:00+05:30,17472.45,Sell,Sell,Sell,Sell,Buy,Sell,Sell,Sell,87.5,17647.1745,17297.7255,6.0,17450,2022-09-08,187.95,169.15,206.74,300,1,1,NIFTY08SEP2217450PE,43440,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-01 16:27:15.736964
