Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
Gap_down,%5ENSEBANK,Sell,2022-07-14 11:50:00+05:30,34754.7,Sell,Sell,Sell,Sell,Neutral,Sell,83.3,35102.246999999996,34407.153,3.0,35000,2022-07-21,545.0,490.5,599.5,25,1,-1,BANKNIFTY21JUL2235000PE,47838,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-14 15:36:16.580354
Gap_up,%5ENSEI,Sell,2022-07-14 11:30:00+05:30,15963.05,Sell,Sell,Sell,Sell,Buy,Sell,83.3,16122.680499999999,15803.4195,6.0,15950,2022-07-21,153.9,138.51,169.29,50,1,-1,NIFTY21JUL2215950PE,54326,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-14 15:36:16.580354
Options_Chain_Volume,%5ENSEBANK,Sell,2022-07-14 15:15:00+05:30,34657.95,Buy,Neutral,Buy,Sell,Neutral,Sell,33.32,35004.5295,34311.3705,3.0,34900,2022-07-21,493.95,444.56,543.34,25,1,-1,BANKNIFTY21JUL2234900PE,47834,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-14 15:36:16.580354
Options_Chain_Volume,%5ENSEI,Buy,2022-07-14 15:01:00+05:30,15921.95,Buy,Buy,Buy,Sell,Sell,Sell,49.98,15762.730500000001,16081.1695,6.0,15800,2022-07-21,211.95,190.76,233.14,300,1,1,NIFTY21JUL2215800CE,54311,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-07-14 15:36:16.580354
