Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
Gap_down,%5ENSEBANK,Sell,2022-09-07 11:10:00+05:30,39338.25,Sell,Sell,Buy,Sell,Neutral,Sell,Sell,Sell,75.0,39731.6325,38944.8675,3.0,39500,2022-09-15,575.9,518.31,633.49,25,1,-1,BANKNIFTY15SEP2239500PE,51812,2.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-07 15:33:16.307301
Options_Chain_Volume,%5ENSEBANK,Buy,2022-09-07 11:44:00+05:30,39430.3,Buy,Buy,Buy,Sell,Neutral,Sell,Sell,Sell,37.5,39035.997,39824.603,3.0,39200,2022-09-15,695.0,625.5,764.5,25,1,-1,BANKNIFTY15SEP2239200CE,51791,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-07 15:33:16.307301
Options_Chain_Volume,%5ENSEI,Buy,2022-09-07 09:24:00+05:30,17582.55,Sell,Neutral,Sell,Sell,Neutral,Sell,Sell,Buy,12.5,17406.7245,17758.3755,6.0,17500,2022-09-15,245.0,220.5,269.5,300,1,1,NIFTY15SEP2217500CE,47899,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-07 15:33:16.307301
Reds Brahmos,%5ENSEI,Sell,2022-09-07 11:10:00+05:30,17538.55,Sell,Sell,Buy,Sell,Buy,Sell,Sell,Sell,75.0,17713.9355,17363.1645,6.0,17550,2022-09-15,200.3,180.27,220.33,50,1,-1,NIFTY15SEP2217550PE,47904,2.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-07 15:33:16.307301
