"","Call_askPrice","Call_askQty","Call_bidprice","Call_bidQty","Call_change","Call_changeinOpenInterest","Call_expiryDate","Call_identifier","Call_impliedVolatility","Call_lastPrice","Call_openInterest","Call_pChange","Call_pchangeinOpenInterest","Call_strikePrice","Call_totalBuyQuantity","Call_totalSellQuantity","Call_totalTradedVolume","Call_underlying","Call_underlyingValue","expiryDate","Put_askPrice","Put_askQty","Put_bidprice","Put_bidQty","Put_change","Put_changeinOpenInterest","Put_expiryDate","Put_identifier","Put_impliedVolatility","Put_lastPrice","Put_openInterest","Put_pChange","Put_pchangeinOpenInterest","Put_strikePrice","Put_totalBuyQuantity","Put_totalSellQuantity","Put_totalTradedVolume","Put_underlying","Put_underlyingValue","strikePrice","current_time"
"267","705.1","4800","0","0","0","0","09-Sep-2021","OPTIDXNIFTY09-09-2021CE15450.00","0","0","0","0","0","15450","0","4800","0","NIFTY","15824.05","09-Sep-2021","240.7","4800","0","0","0","0","09-Sep-2021","OPTIDXNIFTY09-09-2021PE15450.00","0","0","0","0","0","15450","0","4800","0","NIFTY","15824.05","15450",2021-07-23 01:22:42
"268","2242.8","50","2192.5","100","0","0","29-Jul-2021","OPTIDXNIFTY29-07-2021CE13600.00","0","2126.7","33","0","0","13600","10150","10800","0","NIFTY","15824.05","29-Jul-2021","1.2","1550","1.1","50","-1.3","-5","29-Jul-2021","OPTIDXNIFTY29-07-2021PE13600.00","42.36","1.2","105","-52","-4.54545454545455","13600","66100","8600","93","NIFTY","15824.05","13600",2021-07-23 01:22:42
"269","339.9","3000","323.4","1950","166.4","-2546","22-Jul-2021","OPTIDXNIFTY22-07-2021CE15500.00","0","323.5","1240","105.919796308084","-67.2477548864237","15500","280200","14250","17528","NIFTY","15824.05","22-Jul-2021","0.05","133200","0","0","-12.85","-5205","22-Jul-2021","OPTIDXNIFTY22-07-2021PE15500.00","13.56","0.05","41506","-99.6124031007752","-11.1429855922588","15500","0","924000","471436","NIFTY","15824.05","15500",2021-07-23 01:22:42
"270","374.9","50","361","50","113","412","05-Aug-2021","OPTIDXNIFTY05-08-2021CE15500.00","0","374.9","810","43.1462390225277","103.517587939698","15500","14650","9650","1239","NIFTY","15824.05","05-Aug-2021","32.9","50","32.5","100","-69.95","3198","05-Aug-2021","OPTIDXNIFTY05-08-2021PE15500.00","12.6","32.5","5117","-68.2772083943387","166.649296508598","15500","22150","16100","12867","NIFTY","15824.05","15500",2021-07-23 01:22:42
"271","419.15","50","383.35","50","69.6","1","12-Aug-2021","OPTIDXNIFTY12-08-2021CE15500.00","0","407.75","3","20.5825816945143","50","15500","16850","6000","1","NIFTY","15824.05","12-Aug-2021","56.75","150","55.2","100","-72.45","293","12-Aug-2021","OPTIDXNIFTY12-08-2021PE15500.00","13.26","56.45","382","-56.2063615205586","329.213483146067","15500","22100","4800","568","NIFTY","15824.05","15500",2021-07-23 01:22:42
"272","702.1","4800","0","0","0","0","18-Aug-2021","OPTIDXNIFTY18-08-2021CE15500.00","0","0","0","0","0","15500","0","4800","0","NIFTY","15824.05","18-Aug-2021","168.9","600","55.25","500","0","0","18-Aug-2021","OPTIDXNIFTY18-08-2021PE15500.00","0","0","0","0","0","15500","2900","10500","0","NIFTY","15824.05","15500",2021-07-23 01:22:42
"273","459.95","1100","456.85","50","100.45","761","26-Aug-2021","OPTIDXNIFTY26-08-2021CE15500.00","0","459.95","7646","27.9415855354659","11.0530137981118","15500","11950","14300","4778","NIFTY","15824.05","26-Aug-2021","98.45","50","97.2","50","-76.35","2806","26-Aug-2021","OPTIDXNIFTY26-08-2021PE15500.00","14.03","97.25","31761","-43.9804147465438","9.69089967190468","15500","18200","37650","25152","NIFTY","15824.05","15500",2021-07-23 01:22:42
"274","338","150","337","50","125.6","-4084","29-Jul-2021","OPTIDXNIFTY29-07-2021CE15500.00","0","336","10648","59.6958174904943","-27.7219657887592","15500","43100","21300","22434","NIFTY","15824.05","29-Jul-2021","14.5","50","14.45","750","-54.95","7857","29-Jul-2021","OPTIDXNIFTY29-07-2021PE15500.00","13.09","14.45","67578","-79.178674351585","13.1561762194203","15500","178450","137650","189869","NIFTY","15824.05","15500",2021-07-23 01:22:42
"275","634.05","4800","0","0","0","0","09-Sep-2021","OPTIDXNIFTY09-09-2021CE15500.00","0","0","0","0","0","15500","0","4800","0","NIFTY","15824.05","09-Sep-2021","249.15","4800","0","0","0","0","09-Sep-2021","OPTIDXNIFTY09-09-2021PE15500.00","0","0","0","0","0","15500","0","4800","0","NIFTY","15824.05","15500",2021-07-23 01:22:42
"276","637","4800","0","0","0","0","16-Sep-2021","OPTIDXNIFTY16-09-2021CE15500.00","0","0","0","0","0","15500","0","4800","0","NIFTY","15824.05","16-Sep-2021","268.8","4800","0","0","0","0","16-Sep-2021","OPTIDXNIFTY16-09-2021PE15500.00","0","0","0","0","0","15500","0","4800","0","NIFTY","15824.05","15500",2021-07-23 01:22:42
