Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
3_Cand_ABC,%5ENSEBANK,Buy,2022-09-08 10:55:00+05:30,39920.05,Buy,Buy,Sell,Buy,Neutral,Buy,Buy,Buy,75.0,39520.849500000004,40319.2505,3.0,39700,2022-09-15,616.0,554.4,677.6,75,1,1,BANKNIFTY15SEP2239700CE,51826,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-08 16:27:20.046214
Gap_up,%5ENSEBANK,Buy,2022-09-08 12:35:00+05:30,40100.55,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,39699.5445,40501.5555,2.0,39900,2022-09-15,610.85,549.76,671.94,25,1,-1,BANKNIFTY15SEP2239900CE,51839,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-08 16:27:20.046214
Gap_up,%5ENSEI,Buy,2022-09-08 14:45:00+05:30,17784.65,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Sell,75.0,17606.8035,17962.4965,6.0,17800,2022-09-15,150.3,135.27,165.33,50,1,-1,NIFTY15SEP2217800CE,47921,5.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-08 16:27:20.046214
Options_Chain_Volume,%5ENSEBANK,Buy,2022-09-08 09:25:00+05:30,39837.15,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,39438.7785,40235.5215,3.0,39600,2022-09-15,624.0,561.6,686.4,75,1,1,BANKNIFTY15SEP2239600CE,51817,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-08 16:27:20.046214
Options_Chain_Volume,%5ENSEI,Buy,2022-09-08 14:05:00+05:30,17753.9,Buy,Buy,Buy,Buy,Sell,Sell,Sell,Sell,50.0,17576.361,17931.439000000002,6.0,17650,2022-09-15,220.0,198.0,242.0,50,1,-1,NIFTY15SEP2217650CE,47909,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-08 16:27:20.046214
