Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
Cowboy,%5ENSEBANK,Sell,2022-08-30 09:15:00+05:30,38661.95,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,12.5,39048.5695,38275.3305,3.0,38900,2022-09-08,578.0,520.2,635.8,25,1,-1,BANKNIFTY08SEP2238900PE,46402,1.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-30 11:06:15.973790
Options_Chain_Volume,%5ENSEBANK,Buy,2022-08-30 09:25:00+05:30,38738.3,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,38350.917,39125.683000000005,3.0,38500,2022-09-08,614.95,553.46,676.44,25,1,-1,BANKNIFTY08SEP2238500CE,46369,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-30 11:06:15.973790
Reds Rocket,%5ENSEBANK,Sell,2022-08-30 09:15:00+05:30,38661.95,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,12.5,39048.5695,38275.3305,3.0,38900,2022-09-08,578.0,520.2,635.8,25,1,-1,BANKNIFTY08SEP2238900PE,46402,1.5,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-30 11:06:15.973790
