Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
5_Cand_ABC,%5ENSEBANK,Buy,2022-09-02 12:40:00+05:30,39411.9,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,39017.781,39806.019,3.0,39200,2022-09-08,525.0,472.5,577.5,75,1,1,BANKNIFTY08SEP2239200CE,46435,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-02 16:18:16.238845
Options_Chain_Volume,%5ENSEBANK,Buy,2022-09-02 12:06:00+05:30,39341.5,Buy,Buy,Buy,Buy,Sell,Buy,Buy,Buy,87.5,38948.085,39734.915,3.0,39100,2022-09-08,586.55,527.9,645.2,75,1,1,BANKNIFTY08SEP2239100CE,46430,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-02 16:18:16.238845
Options_Chain_Volume,%5ENSEI,Buy,2022-09-02 10:23:00+05:30,17511.6,Buy,Neutral,Buy,Sell,Neutral,Sell,Sell,Sell,25.0,17336.483999999997,17686.716,6.0,17400,2022-09-08,232.45,209.2,255.7,50,1,-1,NIFTY08SEP2217400CE,43436,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-09-02 16:18:16.238845
