Strategy,Stock,Signal,Datetime,Value,SMA_Call,RSI_Call,MACD_Call,Pivot_Call,BB_Call,VWAP_Call,SuperTrend_Call,PCR_Call,Probability,StopLoss,Target,Qty,Spot_Price,expiry,Strike_Buy_Price,premium_StopLoss,premium_Target,lotsize,premium_Qty,historic_profit,current_script,token,exec_rnk,order_place,order_id,target_order_id,stop_loss_order_id,robo_order_id,cancel_order_id,final_order_id,conclusion,target_hit,avg_buy_price,avg_sell_price,avg_qty,adjusted_target,adjusted_stoploss,execution_time
Gap_up,%5ENSEBANK,Buy,2022-08-25 09:40:00+05:30,39343.25,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,38949.8175,39736.6825,3.0,39100,2022-09-01,547.6,492.84,602.36,75,1,1,BANKNIFTY01SEP2239100CE,51698,2.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-25 14:30:16.648305
Gap_up,%5ENSEI,Buy,2022-08-25 09:35:00+05:30,17707.55,Buy,Buy,Buy,Buy,Neutral,Buy,Buy,Buy,87.5,17530.4745,17884.6255,6.0,17700,2022-09-01,161.2,145.08,177.32,300,1,1,NIFTY01SEP2217700CE,70699,1.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-25 14:30:16.648305
Options_Chain_Volume,%5ENSEBANK,Buy,2022-08-25 11:43:00+05:30,39329.25,Buy,Buy,Buy,Buy,Sell,Sell,Sell,Sell,50.0,38935.9575,39722.5425,3.0,39100,2022-09-01,549.3,494.37,604.23,25,1,-1,BANKNIFTY01SEP2239100CE,51698,3.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-25 14:30:16.648305
Options_Chain_Volume,%5ENSEI,Sell,2022-08-25 14:21:00+05:30,17674.55,Sell,Sell,Sell,Buy,Buy,Sell,Sell,Sell,75.0,17851.2955,17497.8045,6.0,17750,2022-09-01,160.0,144.0,176.0,50,1,-1,NIFTY01SEP2217750PE,70702,4.0,0,0,0,0,0,0,0,New Order,,,,,,,2022-08-25 14:30:16.648305
